"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Littell, Zack","641793","408","14.3",32.4,"114.5","90.6","80.7","94.4","87.9","420","171","389","171",41.9,"46",11.3,8.9
"Severino, Luis","622663","407","13.4",34.4,"112.4","88.3","75.9","92.6","85.3","455","164","405","175",43,"24",5.9,4.4
"Keller, Mitch","656605","386","11.9",32.4,"114.1","90.1","79.9","93.7","88.6","445","161","399","164",42.5,"26",6.7,5
"Webb, Logan","657277","385","6.4",34.5,"116.8","89.8","78.5","93.6","87.4","423","140","390","155",40.3,"29",7.5,5.2
"Irvin, Jake","663623","384","13.3",32.6,"111.8","90.6","79.4","94.3","87.8","464","172","395","182",47.4,"48",12.5,9.4
"Martinez, Nick","607259","380","17.1",37.6,"111.4","88.8","78.8","91.4","87.7","432","176","400","134",35.3,"28",7.4,5.6
"Senzatela, Antonio","622608","375","9.4",35.5,"112","90.8","79.5","94.2","87.5","435","165","411","172",45.9,"33",8.8,7.1
"Kremer, Dean","665152","373","14.6",35.1,"110.8","88.2","76.8","93.5","83.5","429","173","404","129",35.5,"30",8,5.9
"Soriano, José","667755","368","-3.6",24.2,"112.7","91.4","80.1","96.3","89.7","420","101","399","177",48.1,"28",7.6,5.2
"Berríos, José","621244","367","16.8",32.7,"118.1","90.3","79.7","94.3","87.7","436","169","399","155",42.2,"40",10.9,7.6
"Springs, Jeffrey","605488","366","18.7",37.2,"112.9","88.4","77.4","93.3","82.5","452","193","394","135",36.9,"30",8.2,6
"Pallante, Andre","669467","364","-0.3",27.2,"119.4","89.5","77.8","93.9","86.9","448","120","395","154",42.3,"25",6.9,5.3
"Bassitt, Chris","605135","362","10.3",32.3,"116.7","86.9","74.4","92.7","83.6","417","147","390","126",34.8,"28",7.7,5.4
"Fried, Max","608331","362","8.3",30.7,"112.5","87.5","75.7","92.1","85.2","429","143","405","137",37.8,"24",6.6,4.7
"Parker, Mitchell","680730","359","15.6",35.7,"113.8","91.8","82","94.3","90.5","466","181","407","178",49.6,"33",9.2,7
"Paddack, Chris","663978","359","16.5",34.8,"112.9","89.9","79.2","94.2","88.3","448","174","400","157",43.7,"30",8.4,6.4
"Gallen, Zac","668678","357","13.2",36.4,"112","91.2","80.8","94.8","86.7","467","180","400","169",47.3,"43",12,8.2
"Castillo, Luis","622491","356","13.6",34.6,"115.2","90.4","79.3","93.7","87.6","445","169","396","165",46.3,"38",10.7,7.6
"Lodolo, Nick","666157","353","13.6",31.4,"115","89.5","78.4","93.8","86.4","429","167","394","148",41.9,"30",8.5,6
"Sugano, Tomoyuki","608372","351","14.4",39.3,"116.3","89.6","79.1","94","86.3","433","171","398","135",38.5,"40",11.4,9
"Woo, Bryan","693433","350","15.5",33.7,"120.4","88.2","76.4","92.8","85.9","420","165","388","137",39.1,"32",9.1,6.4
"Pfaadt, Brandon","694297","350","13",41.1,"114.8","91.8","80.8","95.7","87.8","448","176","406","168",48,"45",12.9,9.4
"Freeland, Kyle","607536","347","10.9",36.6,"115.4","91","80.9","94.2","88.4","452","164","406","162",46.7,"33",9.5,7.3
"Wacha, Michael","608379","347","16",38.3,"110.7","86.8","75.4","92","83","430","167","402","112",32.3,"24",6.9,5.1
"Kikuchi, Yusei","579328","345","15.8",31.6,"112.2","91.4","81","94.7","90.3","434","171","399","147",42.6,"35",10.1,6.6
"Bibee, Tanner","676440","344","13",28.5,"113.9","88.6","77.2","92.5","86.5","429","156","389","133",38.7,"27",7.8,5.6
"Valdez, Framber","664285","343","1.7",28.3,"114.4","90.9","80.1","94.6","89.2","425","123","400","162",47.2,"24",7,4.6
"Anderson, Tyler","542881","342","20.5",41.2,"116.1","87.5","76","92.5","81.3","440","192","404","117",34.2,"32",9.4,6.7
"Mikolas, Miles","571945","341","15.9",34.9,"113.8","89.1","77.5","93.9","84.6","428","182","402","146",42.8,"41",12,9.4
"Márquez, Germán","608566","340","14.7",35.6,"112.7","91.1","80.9","94.4","88.7","456","178","405","161",47.4,"30",8.8,6.6
"Alcantara, Sandy","645261","339","8.1",34.5,"117.9","90.5","79.8","95.5","86","422","161","393","151",44.5,"31",9.1,6.7
"Holmes, Clay","605280","338","4",29.9,"111.8","89.7","78.5","96.3","86","433","132","389","145",42.9,"23",6.8,4.8
"Crochet, Garrett","676979","337","10.6",32.3,"115.5","87.4","75.1","91.7","84.9","443","152","398","125",37.1,"24",7.1,4.5
"Peterson, David","656849","335","4.5",32.8,"113.3","90.8","80.1","93.7","89.1","432","135","402","152",45.4,"21",6.3,4.4
"Fedde, Erick","607200","334","15.6",35.9,"113.2","91","81.3","93.5","90.1","450","174","399","150",44.9,"31",9.3,7
"Hendricks, Kyle","543294","333","17.3",32.4,"111.7","86.4","74.2","91.8","82.6","423","172","390","118",35.4,"28",8.4,6.5
"Falter, Bailey","663559","333","18.8",30,"114.7","90.4","79.4","94.3","88","466","178","401","151",45.3,"31",9.3,7.1
"Kelly, Merrill","518876","331","13",29,"116.9","90.6","79.5","94.2","88.8","443","161","398","145",43.8,"30",9.1,6.2
"Sears, JP","676664","330","22.4",33.9,"113.3","89.7","79.2","93.4","85","470","203","401","134",40.6,"30",9.1,6.6
"Sánchez, Cristopher","650911","329","2.4",24.6,"112.6","89.3","77.9","92.5","87.6","418","123","384","132",40.1,"17",5.2,3.4
"Vásquez, Randy","681190","328","17.9",34.5,"118.4","89.1","78","94.2","86","417","175","394","131",39.9,"36",11,8.4
