"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2025","563","385",0.265,0.262,0.0030000000000000027,0.393,0.401,-0.008000000000000007,0.305,0.307,-0.0020000000000000018,"3.38","3.61","-0.227"
"Severino, Luis","622663","2025","551","407",0.262,0.28,-0.018000000000000016,0.4,0.432,-0.03199999999999997,0.321,0.34,-0.019000000000000017,"4.96","4.53","0.425"
"Soriano, José","667755","2025","539","368",0.253,0.255,-0.0020000000000000018,0.338,0.381,-0.04299999999999998,0.306,0.322,-0.016000000000000014,"3.79","4.01","-0.224"
"Crochet, Garrett","676979","2025","539","337",0.216,0.222,-0.006000000000000005,0.315,0.36,-0.044999999999999984,0.259,0.28,-0.02100000000000002,"2.19","2.97","-0.775"
"Kikuchi, Yusei","579328","2025","527","345",0.251,0.25,0.0010000000000000009,0.391,0.436,-0.044999999999999984,0.316,0.332,-0.016000000000000014,"3.23","4.29","-1.062"
"Berríos, José","621244","2025","524","367",0.243,0.26,-0.017000000000000015,0.406,0.46,-0.05399999999999999,0.315,0.341,-0.026000000000000023,"3.83","4.56","-0.733"
"Gallen, Zac","668678","2025","522","357",0.255,0.266,-0.01100000000000001,0.464,0.498,-0.033999999999999975,0.34,0.356,-0.01599999999999996,"5.58","5.03","0.549"
"Keller, Mitch","656605","2025","519","386",0.239,0.264,-0.025000000000000022,0.363,0.41,-0.046999999999999986,0.288,0.315,-0.027000000000000024,"3.53","3.82","-0.292"
"Valdez, Framber","664285","2025","519","343",0.218,0.246,-0.027999999999999997,0.333,0.374,-0.04099999999999998,0.277,0.306,-0.02899999999999997,"2.67","3.59","-0.918"
"Bassitt, Chris","605135","2025","518","362",0.268,0.257,0.01100000000000001,0.421,0.406,0.014999999999999958,0.325,0.314,0.01100000000000001,"3.88","3.79","0.088"
"Littell, Zack","641793","2025","516","408",0.257,0.272,-0.015000000000000013,0.463,0.495,-0.03199999999999997,0.321,0.341,-0.020000000000000018,"3.72","4.56","-0.843"
"Fried, Max","608331","2025","515","362",0.214,0.246,-0.032,0.323,0.386,-0.063,0.264,0.302,-0.03799999999999998,"2.62","3.49","-0.875"
"Irvin, Jake","663623","2025","513","384",0.252,0.272,-0.020000000000000018,0.453,0.508,-0.05499999999999999,0.335,0.361,-0.025999999999999968,"4.81","5.20","-0.387"
"Kremer, Dean","665152","2025","506","373",0.255,0.256,-0.0010000000000000009,0.421,0.431,-0.010000000000000009,0.315,0.319,-0.0040000000000000036,"4.23","3.93","0.298"
"Rodón, Carlos","607074","2025","505","316",0.188,0.211,-0.022999999999999993,0.332,0.365,-0.032999999999999974,0.268,0.29,-0.021999999999999964,"3.10","3.20","-0.096"
"Castillo, Luis","622491","2025","503","356",0.245,0.265,-0.020000000000000018,0.38,0.439,-0.059,0.301,0.331,-0.030000000000000027,"3.30","4.26","-0.96"
"Springs, Jeffrey","605488","2025","502","366",0.231,0.257,-0.025999999999999995,0.42,0.441,-0.02100000000000002,0.308,0.328,-0.020000000000000018,"4.13","4.18","-0.055"
"Peralta, Freddy","642547","2025","501","319",0.204,0.224,-0.020000000000000018,0.336,0.382,-0.045999999999999985,0.278,0.303,-0.024999999999999967,"2.81","3.51","-0.699"
"Sánchez, Cristopher","650911","2025","501","329",0.223,0.224,-0.0010000000000000009,0.312,0.332,-0.020000000000000018,0.267,0.274,-0.007000000000000006,"2.40","2.84","-0.445"
"Ray, Robbie","592662","2025","500","319",0.202,0.214,-0.011999999999999983,0.354,0.37,-0.016000000000000014,0.281,0.293,-0.011999999999999955,"2.92","3.27","-0.351"
"Martinez, Nick","607259","2025","499","380",0.26,0.268,-0.008000000000000007,0.439,0.431,0.008000000000000007,0.322,0.324,-0.0020000000000000018,"4.69","4.06","0.626"
"Lodolo, Nick","666157","2025","499","353",0.226,0.243,-0.016999999999999987,0.376,0.421,-0.044999999999999984,0.287,0.311,-0.02400000000000002,"3.08","3.71","-0.628"
"Woo, Bryan","693433","2025","498","350",0.206,0.231,-0.025000000000000022,0.343,0.39,-0.046999999999999986,0.259,0.287,-0.02799999999999997,"2.91","3.13","-0.217"
"Skenes, Paul","694973","2025","492","319",0.186,0.207,-0.02099999999999999,0.281,0.315,-0.033999999999999975,0.237,0.258,-0.02100000000000002,"1.91","2.51","-0.597"
"Wheeler, Zack","554430","2025","491","296",0.187,0.194,-0.007000000000000006,0.325,0.317,0.008000000000000007,0.248,0.248,0,"2.39","2.32","0.071"
"Luzardo, Jesús","666200","2025","491","311",0.27,0.253,0.017000000000000015,0.396,0.387,0.009000000000000008,0.322,0.313,0.009000000000000008,"4.58","3.77","0.809"
"Gore, MacKenzie","669022","2025","490","300",0.242,0.236,0.006000000000000005,0.379,0.39,-0.01100000000000001,0.305,0.308,-0.0030000000000000027,"3.52","3.64","-0.122"
"Cease, Dylan","656302","2025","487","297",0.243,0.227,0.015999999999999986,0.415,0.393,0.021999999999999964,0.317,0.302,0.015000000000000013,"4.59","3.49","1.102"
"Pepiot, Ryan","686752","2025","487","326",0.229,0.241,-0.011999999999999983,0.433,0.426,0.007000000000000006,0.316,0.321,-0.0050000000000000044,"3.59","3.98","-0.39"
"Kelly, Merrill","518876","2025","487","331",0.205,0.251,-0.04600000000000001,0.356,0.42,-0.064,0.274,0.317,-0.04299999999999998,"3.32","3.87","-0.55"
"Bibee, Tanner","676440","2025","483","344",0.246,0.239,0.007000000000000006,0.408,0.401,0.006999999999999951,0.313,0.306,0.007000000000000006,"4.27","3.59","0.677"
"Skubal, Tarik","669373","2025","482","298",0.192,0.209,-0.016999999999999987,0.281,0.334,-0.05299999999999999,0.224,0.251,-0.026999999999999996,"2.19","2.38","-0.195"
"Pivetta, Nick","601713","2025","482","317",0.199,0.235,-0.035999999999999976,0.327,0.429,-0.10199999999999998,0.256,0.311,-0.05499999999999999,"2.81","3.71","-0.899"
"Gray, Sonny","543243","2025","480","327",0.264,0.269,-0.0050000000000000044,0.421,0.436,-0.015000000000000013,0.311,0.319,-0.008000000000000007,"4.33","3.93","0.402"
"Pfaadt, Brandon","694297","2025","480","350",0.262,0.304,-0.04199999999999998,0.45,0.553,-0.10300000000000004,0.331,0.386,-0.05499999999999999,"4.75","6.11","-1.355"
"Baz, Shane","669358","2025","480","321",0.247,0.236,0.01100000000000001,0.437,0.391,0.045999999999999985,0.331,0.31,0.02100000000000002,"4.66","3.69","0.968"
"Gausman, Kevin","592332","2025","478","325",0.224,0.246,-0.021999999999999992,0.381,0.423,-0.04199999999999998,0.291,0.315,-0.02400000000000002,"4.01","3.82","0.191"
"Holmes, Clay","605280","2025","477","338",0.239,0.254,-0.015000000000000013,0.358,0.411,-0.05299999999999999,0.303,0.33,-0.027000000000000024,"3.40","4.23","-0.825"
"Peterson, David","656849","2025","477","335",0.237,0.27,-0.03300000000000003,0.335,0.4,-0.065,0.288,0.325,-0.03700000000000003,"2.90","4.09","-1.194"
"Anderson, Tyler","542881","2025","475","342",0.255,0.255,0,0.455,0.465,-0.010000000000000009,0.335,0.339,-0.0040000000000000036,"4.43","4.50","-0.07"
"Pallante, Andre","669467","2025","474","364",0.265,0.276,-0.01100000000000001,0.429,0.427,0.0020000000000000018,0.327,0.331,-0.0040000000000000036,"4.91","4.26","0.649"
"Parker, Mitchell","680730","2025","473","359",0.26,0.294,-0.033999999999999975,0.435,0.5,-0.065,0.33,0.37,-0.03999999999999998,"5.00","5.51","-0.51"
"Paddack, Chris","663978","2025","472","359",0.266,0.277,-0.01100000000000001,0.444,0.475,-0.030999999999999972,0.323,0.343,-0.020000000000000018,"4.95","4.62","0.326"
"Holmes, Grant","656550","2025","471","292",0.23,0.243,-0.012999999999999984,0.385,0.416,-0.030999999999999972,0.314,0.331,-0.017000000000000015,"3.81","4.26","-0.449"
"Bradley, Taj","671737","2025","471","328",0.236,0.242,-0.006000000000000005,0.375,0.386,-0.01100000000000001,0.304,0.311,-0.007000000000000006,"4.61","3.71","0.898"
"Wacha, Michael","608379","2025","470","347",0.246,0.261,-0.015000000000000013,0.364,0.423,-0.059,0.296,0.322,-0.026000000000000023,"3.62","4.01","-0.394"
"Senzatela, Antonio","622608","2025","466","375",0.348,0.331,0.01699999999999996,0.54,0.555,-0.015000000000000013,0.403,0.402,0.0010000000000000009,"6.41","6.75","-0.343"
"Boyd, Matthew","571510","2025","465","328",0.223,0.239,-0.015999999999999986,0.337,0.377,-0.03999999999999998,0.267,0.291,-0.023999999999999966,"2.20","3.22","-1.021"
"Warren, Will","701542","2025","464","287",0.249,0.249,0,0.399,0.405,-0.006000000000000005,0.322,0.324,-0.0020000000000000018,"4.82","4.06","0.755"
"Brown, Hunter","686613","2025","462","278",0.195,0.219,-0.023999999999999994,0.316,0.345,-0.02899999999999997,0.259,0.279,-0.020000000000000018,"2.57","2.95","-0.379"
"Bubic, Kris","663460","2025","461","308",0.226,0.23,-0.0040000000000000036,0.328,0.345,-0.01699999999999996,0.274,0.283,-0.008999999999999952,"2.38","3.04","-0.665"
"Alcantara, Sandy","645261","2025","460","339",0.27,0.285,-0.014999999999999958,0.431,0.472,-0.04099999999999998,0.332,0.355,-0.022999999999999965,"6.66","5.00","1.663"
"Márquez, Germán","608566","2025","454","340",0.307,0.291,0.016000000000000014,0.502,0.477,0.025000000000000022,0.374,0.358,0.016000000000000014,"5.67","5.10","0.575"
"deGrom, Jacob","594798","2025","453","304",0.191,0.227,-0.036000000000000004,0.324,0.37,-0.045999999999999985,0.247,0.281,-0.03400000000000003,"2.28","2.99","-0.708"
"Sears, JP","676664","2025","452","330",0.256,0.243,0.013000000000000012,0.488,0.454,0.033999999999999975,0.34,0.32,0.020000000000000018,"4.98","3.95","1.028"
"Ryan, Joe","657746","2025","452","287",0.197,0.209,-0.011999999999999983,0.338,0.385,-0.046999999999999986,0.262,0.285,-0.022999999999999965,"2.63","3.08","-0.45"
"Lugo, Seth","607625","2025","451","315",0.219,0.259,-0.04000000000000001,0.387,0.475,-0.08799999999999997,0.293,0.341,-0.04800000000000004,"2.95","4.56","-1.613"
"Freeland, Kyle","607536","2025","449","347",0.308,0.303,0.0050000000000000044,0.476,0.499,-0.02300000000000002,0.355,0.36,-0.0050000000000000044,"5.24","5.17","0.07"
