"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Sánchez, Cristopher",650911,"L",,"92.3",,"82.4",,,"23.7",,
"Matz, Steven",571927,"L",,"99.4",,"82",,"80","35.4",,
"Fedde, Erick",607200,"R",,"78","58.6","72",,,,"47.3",
"Maton, Phil",664208,"R",,"71.9","60.3",,,"92.1",,"44.9",
"Rogers, Taylor",573124,"L",,"88.3",,,,,,"67.6",
"Koenig, Jared",657649,"L",,"79.9","46.9","92.8",,"81.2",,,
"Bird, Jake",656234,"R",,"74.2","54.8",,,"85.4",,"52.5",
"Young, Danny",664849,"L",,"85.3",,,,,,"57.3",
"Hoeing, Bryan",663773,"R",,"94.5",,,"86.9",,"32.9",,
"Mantiply, Joe",573009,"L",,"90.3",,"98.5",,"50.7",,,
"Darrell-Hicks, Michael",690382,"R",,"85.1","36.4",,,,,"55.8",
"Leiter Jr., Mark",643410,"R",,"93","57.4",,"87.4","97.7",,,
"Effross, Scott",664123,"R",,"98.4",,"96.7",,,,"22.1",
"Brubaker, JT",664141,"R",,"84.3",,"84.8",,,"10.7",,
"Jansen, Kenley",445276,"R",,"96.2","82",,,,"44.1","42.6",
"Criswell, Cooper",681867,"R",,"75","46.7","86.9",,,,"70.8",
"Burnes, Corbin",669203,"R",,"74","62.1","77.7",,"70.7","37.9",,
"Whitlock, Garrett",676477,"R",,"99.4",,"86.1",,,"53.8","64.5",
"Backhus, Kyle",679775,"L",,"95",,,,,,"48",
"McDaniels, Garrett",680729,"L",,"66.4",,,,,"19.5",,
"Mayza, Tim",641835,"L",,"87",,,,,"18.6",,
"Fluharty, Mason",689254,"L",,,"42.5",,,,,"58.8",
"Borucki, Ryan",621366,"L",,"95.2",,,"87.9",,"15.1","44.4",
"Bachman, Sam",696147,"R",,"95.8",,"90.3",,,"18.6",,
"Little, Brendon",663893,"L",,"71.7","43.7",,,"75.6",,,
"Bernardino, Brennan",657514,"L",,"75.6","25.3","88.8",,"54.4","17.2",,
"Johnson, Ryan",696270,"R",,"67.5","42.4",,"82.4",,,"51.4",
"McFarland, T.J.",519008,"L",,"90.3",,"93",,,,"66.4",
"Bautista, Félix",642585,"R",,"99.4",,,"97.3",,"36.4",,
"Alvarado, José",621237,"L",,"93.8","41.2",,,"56.9",,,
"Tate, Dillon",622253,"R",,"91.5",,"68.4",,,,"37.3",
"Roberts, Ethan",681799,"R",,,"47.9",,,,,"70.4",
"Davis, Noah",663562,"R",,"94.6","31.8",,,,,"69.3",
"Funderburk, Kody",681892,"L",,"82.5","63.7","86.2",,,"25.4","59.5",
"O'Brien, Riley",676617,"R",,"84.9",,,,"66.1","25.2",,
"Walker, Ryan",676254,"R",,"78.9",,,,,"51.9",,
"Murdock, Noah",668716,"R",,"69.4","23.9","60.3",,,,"55.3",
"Ginn, J.T.",669372,"R",,"75.4","60.5","78.9",,,"23",,
"Pérez, Martín",527048,"L",,"97.1","65.7","99.2",,"31.8",,,
"Castro, Miguel",612434,"R",,"98.7",,"91.8",,,"48.7",,
"Topa, Justin",623437,"R",,"89.5","41","79.3",,,,"49.3",
"Doval, Camilo",666808,"R",,"46.5","55",,,,"38.3",,
"Hjelle, Sean",663546,"R",,"71.3","44.7",,,"52.1",,,
"Spence, Mitch",687765,"R",,"53.1","27.6","70",,"68.3","49.9",,
"Clase, Emmanuel",661403,"R",,,"64.1",,,,"40.5",,
"Chavez, Jesse",445926,"R",,"90.1","69.9","95",,"77.1",,,
"Rogers, Tyler",643511,"R",,"72.9",,,,,"58.6",,
"Priester, Quinn",682990,"R",,"81.4","62.7","96.4",,"58.7","28.8",,
"Alexander, Scott",518397,"L",,"76.3",,"67.4",,,"32.1",,
"Mey, Luis",682825,"R",,"72.7",,,,,"34.1",,
"Dunning, Dane",641540,"R",,"84.1","69.5","99.2",,"99.3","44.1",,
"Ferrer, Jose A.",678606,"L",,"99.5",,"93.9",,,"18",,
"Ashcraft, Graham",668933,"R",,,"47.8",,,,"38",,
"Pop, Zach",647315,"R",,"85","51.7",,,,"47.5",,
"Thomas, Connor",671162,"L",,"73.5","14","81.2",,,,"59.1",
"Guenther, Sean",674944,"L",,"76.1",,,"98.2",,"69.9",,
"Hader, Josh",623352,"L",,"99.5",,"93.1",,,"18.4",,
"Peguero, Elvis",665625,"R",,"91.8",,,,,"28.9",,
"Hagenman, Justin",663795,"R",,"96.1","51.5","93",,,"27.5",,
"Mahle, Tyler",641816,"R","99.7",,"45.1",,"90.9",,"28.1",,
"Dreyer, Jack",676263,"L","99.6",,,,,"90.9","25.2",,
"Myers, Tobias",668964,"R","99.6",,"71.2","98.2",,,"40.8",,
"Palencia, Daniel",694037,"R","99.6","99.7",,,"91.3",,"23.7",,
"Miller, Shelby",571946,"R","99.6",,,,"90.1",,,"45",
"Paddack, Chris",663978,"R","99.6","98.9","67.1","97.3",,"87.4","40.6",,
"Gomber, Austin",596295,"L","99.6",,,"97.8","79.5","78.4","37.4",,
"Hernández, Daysbel",678226,"R","99.5",,,,,,"17.8",,
"Giolito, Lucas",608337,"R","99.5",,,"99.2",,"91.4","30.4",,
"Lee, Dylan",669276,"L","99.5",,,"97.8",,,"43.6",,
"Brebbia, John",605154,"R","99.5",,,"95.4",,,"42.8",,
"Heaney, Andrew",571760,"L","99.4","96.3",,"99.6",,"61.1","18.7",,
"Dana, Caden",702674,"R","99.4",,,"96.5",,,"40.8",,
"Parker, Mitchell",680730,"L","99.4",,,,"91.8","48.7","18.8",,
"Stanek, Ryne",592773,"R","99.4",,,,"96.2",,"22.4","42",
"Cantillo, Joey",676282,"L","99.3",,,"98.4",,"96.2","39.8",,
"Chivilli, Angel",683409,"R","99.3",,,"92.4",,,"31.5",,
"Imanaga, Shota",684007,"L","99.3",,,,"93.3","80.1",,"33.7",
"Peralta, Luis",678821,"L","99.3",,,,,"59.5",,,
