"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Hunter, Torii",116338,2015,567,18.5,6.2,".304",".290",28.5,5,34.9,"98.563404126","93.39348",23.1,53.4
"Ortiz, David",120074,2015,614,15.5,12.5,".379",".420",34.8,13.1,49.1,"102.85113274","96.053057671",23.2,44.7
"Rodriguez, Alex",121347,2015,620,23.4,13.5,".361",".368",31.4,10.9,43.9,"101.381141361","95.014380393",32,43.9
"Ramirez, Aramis",133380,2015,516,13.2,6,".309",".304",33.5,5.6,34.5,"97.851255714","92.944762734",17.9,52.9
"Beltré, Adrian",134181,2015,619,10.5,6.6,".337",".360",35.7,5.5,40.4,"99.25269668","93.842412257",16.8,48.1
"Beltrán, Carlos",136860,2015,531,16,8.5,".346",".346",34.1,5.8,41.9,"100.406684388","94.465737033",18.1,45.4
"Rollins, Jimmy",276519,2015,563,15.3,7.8,".283",".285",32.1,2.5,23.1,"94.846070976","91.436044694",18.2,45
"Pujols, Albert",405395,2015,661,10.9,7.6,".333",".346",29.5,7.7,38.3,"100.504659847","94.487584551",16.3,45.4
"Byrd, Marlon",407781,2015,544,26.7,5.3,".317",".311",33.9,8.5,31.1,"97.831679429","92.932033009",31.2,60.2
"Mauer, Joe",408045,2015,666,16.8,10.1,".311",".338",33.3,3.7,39.9,"99.035012259","93.792457552",16.9,40.7
"Cabrera, Miguel",408234,2015,511,16,15.1,".413",".432",35.8,10.6,53.3,"104.226000936","97.024709123",23.1,44.9
"González, Adrián",408236,2015,642,16.7,9.7,".354",".368",40.7,8.4,36.8,"98.744358772","93.442550154",21.6,49.7
"Phillips, Brandon",408252,2015,623,10.9,4.3,".315",".316",32.6,2.3,26,"95.811326601","91.918819386",18.9,54.2
"Reyes, José",408314,2015,519,11.9,5,".300",".260",28.1,0.2,18.6,"93.914872935","91.119830448",16.4,50.3
"Peralta, Jhonny",425509,2015,640,17.3,7.8,".323",".332",35.2,4.4,34,"98.062979471","93.145918612",23.1,49.9
"Choo, Shin-Soo",425783,2015,653,22.5,11.6,".365",".357",33.5,8.4,44.1,"100.512095792","94.585823515",27,41.9
"Molina, Yadier",425877,2015,530,11.1,6,".287",".270",32.6,2.3,25.3,"95.490076558","91.769427529",16.9,54.1
"Fielder, Prince",425902,2015,693,12.7,9.2,".360",".350",29.4,6.4,44.5,"101.496553053","95.058382691",20.7,47.9
"Canó, Robinson",429664,2015,674,15.9,6.4,".335",".356",32.4,7.3,45.7,"102.302889373","95.449848118",19.1,49.8
"Encarnación, Edwin",429665,2015,624,15.7,12.3,".392",".379",31.1,10,43.9,"101.759241789","95.067321839",23.1,43.1
"Howard, Ryan",429667,2015,502,27.5,5.4,".308",".359",42.5,11.7,45.2,"101.021573988","94.888513877",31.9,54.6
"Bautista, José",430832,2015,666,15.9,16.5,".389",".390",29.9,12.6,45.6,"102.503981","95.539945444",20.4,39.3
"Jones, Adam",430945,2015,581,17.6,4.1,".334",".338",27.5,8.9,34.5,"98.745910091","93.398517016",24.1,60.4
"Aybar, Erick",430947,2015,638,11.4,3.9,".280",".294",31.3,0.9,19.4,"94.647213387","91.323779254",13.3,52.6
"Martin, Russell",431145,2015,507,20.9,10.5,".340",".333",26.8,8.2,40,"100.091759217","94.124560242",23.5,41
