"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","394","12.6",36.5,"107.8","85.6","93.2","87.3","84.5","402","153","365","64",16.2,"4",1,0.9
"Bichette, Bo","666182","357","8.7",38.1,"112.3","90.7","102","95.2","87.5","418","164","392","172",48.2,"32",9,7
"Hoerner, Nico","663538","350","13.6",33.4,"104.7","86.6","96.1","88.5","86.6","385","156","366","97",27.7,"8",2.3,2
"Kwan, Steven","680757","348","13.7",39.4,"104.1","86.1","94.7","88.2","83.9","406","167","377","75",21.6,"9",2.6,2.1
"Turner, Trea","607208","343","9.9",35,"111.7","89.5","100.1","92.2","87.9","426","160","396","144",42,"23",6.7,5.1
"Chourio, Jackson","694192","341","11.9",34.3,"110.4","88.4","100.6","94.8","83","448","167","399","135",39.6,"28",8.2,6.2
"Perdomo, Geraldo","672695","340","14.4",36.5,"108.2","88.1","97.4","91.7","86.1","406","166","388","112",32.9,"19",5.6,4.2
"Wilson, Jacob","805779","340","8.2",32.4,"108.5","85.1","95.3","87.3","84.2","420","134","384","86",25.3,"7",2.1,1.8
"Díaz, Yandy","650490","337","5.8",30.3,"113.5","93.2","105.2","97.3","91.3","435","147","380","180",53.6,"34",10.1,7.8
"Lindor, Francisco","596019","334","15.2",31.7,"109.7","89.9","100.4","94.2","86","425","171","393","145",43.4,"29",8.7,6.3
"Lee, Jung Hoo","808982","329","12.3",34,"105.4","87.4","97","89.6","86.3","413","162","381","100",30.4,"14",4.3,3.4
"Ramírez, José","608070","329","20.3",36.8,"111.6","89.4","99.7","92.6","88.8","420","186","380","130",39.5,"27",8.2,6.4
"Machado, Manny","592518","328","14.7",35.4,"114.8","92.8","103.7","97.2","89.6","440","179","392","170",51.8,"45",13.7,10.2
"Betts, Mookie","605141","328","18.8",34.1,"107.2","88.3","97.7","91.2","84.7","412","188","390","112",34.1,"18",5.5,4.3
"Garcia, Maikel","672580","327","9.8",34.3,"110.3","91.1","101.4","93.7","90.4","428","161","401","143",43.7,"18",5.5,4.3
"Gurriel Jr., Lourdes","666971","326","15.8",36.8,"109.1","88.4","99","92.9","84.6","416","179","400","128",39.3,"22",6.7,5.4
"Schanuel, Nolan","694384","325","13.2",37.8,"109.8","87.3","96.6","91","84","418","166","395","92",28.3,"16",4.9,3.7
"Witt Jr., Bobby","677951","325","15",37.8,"115.7","93.4","104.1","96.9","90.3","442","188","406","161",49.5,"42",12.9,9.5
"Donovan, Brendan","680977","325","11.3",40,"109.6","89.5","99.6","93.4","86.7","405","166","386","128",39.4,"28",8.6,6.6
"Rodríguez, Julio","677594","323","8.5",29.1,"114.7","91","102.8","95.2","88.4","442","151","409","147",45.5,"28",8.7,6
"Albies, Ozzie","645277","322","20.3",33.5,"109.9","87.3","96.7","90.4","85.5","413","173","372","96",29.8,"13",4,3
"Pasquantino, Vinnie","686469","321","16.1",31.2,"114.4","90.7","101.3","94.1","88.9","448","170","398","141",43.9,"28",8.7,6.5
"Clement, Ernie","676391","321","17.3",34.6,"108.9","87","95.9","89.4","84.8","404","169","385","81",25.2,"6",1.9,1.6
"Guerrero Jr., Vladimir","665489","320","7.7",33.8,"120.4","92.8","105.5","97","90.8","448","154","405","165",51.6,"41",12.8,9.1
"Altuve, Jose","514888","319","16.4",27.9,"109.2","84.9","96.8","90.3","82.6","439","148","386","95",29.8,"18",5.6,4.2
"Bellinger, Cody","641355","316","18.3",36.1,"110.2","89.1","99.3","92.2","86","451","191","388","126",39.9,"25",7.9,6.2
"Friedl, TJ","670770","316","12.6",32.6,"107.4","86.9","97.2","90.7","85.1","407","151","390","96",30.4,"11",3.5,2.5
"Tucker, Kyle","663656","316","18.8",38.3,"108.7","90.3","100.1","94","84.9","427","195","393","133",42.1,"39",12.3,8.7
"Arenado, Nolan","571448","313","19.3",29.4,"108.3","86.9","97.4","90.7","84.6","400","167","384","104",33.2,"12",3.8,3.2
"Castellanos, Nick","592206","311","15",40.5,"110.2","88.2","99","91.8","83.9","445","185","396","110",35.4,"28",9,6.7
"Caminero, Junior","691406","308","9.8",28.2,"116.5","91.4","103.4","96.3","89.5","439","151","389","147",47.7,"35",11.4,8.4
"Duran, Jarren","680776","307","12.6",33.2,"117.7","92.1","103.1","94.8","91.1","439","165","395","143",46.6,"30",9.8,6.5
"Tatis Jr., Fernando","665487","307","8.3",30.6,"112.8","93","103.7","97.7","90","435","155","405","156",50.8,"36",11.7,8.1
"Crawford, J.P.","641487","307","11.2",41.7,"110.1","87.4","98","89.3","86.1","417","155","379","105",34.2,"15",4.9,3.4
"Rooker, Brent","667670","306","14.8",38.9,"112.4","91.1","102","95.9","87.5","440","183","399","146",47.7,"45",14.7,9.8
"Naylor, Josh","647304","306","11.5",32.4,"117.9","89","100.1","91.3","87.7","417","162","389","123",40.2,"20",6.5,5
"Bogaerts, Xander","593428","305","10.9",38,"112.2","89.3","100","93","86.4","401","164","381","117",38.4,"19",6.2,4.6
"Crow-Armstrong, Pete","691718","304","21.3",35.2,"111.8","89.6","100.7","94","83.5","452","193","394","129",42.4,"44",14.5,10.4
"Perez, Salvador","521692","304","19.3",36.5,"114.8","90.7","102.5","95","85.7","444","195","402","139",45.7,"46",15.1,11.3
"Semien, Marcus","543760","303","20.3",36,"110","88.5","98.5","91.9","85.4","424","189","393","110",36.3,"22",7.3,5.1
"Harris II, Michael","671739","301","6.6",28.6,"112.4","89.4","102.3","93","87.6","446","141","412","123",40.9,"19",6.3,4.8
"Frelick, Sal","686217","300","11",30.7,"109.1","85.4","96.2","89.6","83.8","412","138","392","84",28,"9",3,2.3
"Vargas, Miguel","678246","299","24.1",36.5,"110","90","99.5","93.3","86","422","201","379","124",41.5,"26",8.7,6.3
"India, Jonathan","663697","298","17.1",35.9,"110.8","88.6","99.3","91.1","88.3","415","169","403","112",37.6,"17",5.7,4.1
"Nimmo, Brandon","607043","295","13.1",30.2,"109.8","92","101.9","94.7","91","417","167","389","149",50.5,"29",9.8,7
"Bohm, Alec","664761","295","6.2",34.6,"109.3","90.3","100.5","92.5","89.1","433","151","382","138",46.8,"19",6.4,5
"Edwards, Xavier","669364","295","9.3",33.6,"109","86.5","96.6","88.6","85.8","386","148","386","89",30.2,"2",0.7,0.5
"Ramos, Heliot","671218","294","11",32.7,"116","91.6","102.1","95.6","88.6","430","168","400","138",46.9,"30",10.2,6.7
"Pages, Andy","681624","294","16.1",38.1,"110.6","88.8","99.6","92","84.5","418","185","396","112",38.1,"25",8.5,6.2
"Winn, Masyn","691026","293","16.4",32.1,"110","88.5","99.4","91.2","88.7","403","167","390","107",36.5,"15",5.1,3.8
"Abrams, CJ","682928","292","12.6",34.6,"112.7","89.2","100","92","87.8","428","165","391","121",41.4,"19",6.5,4.8
"De La Cruz, Elly","682829","289","7.2",32.9,"117.4","91.2","103.1","96","88.1","451","151","405","133",46,"37",12.8,8.3
"Diaz, Yainer","673237","289","12.3",36.7,"111.6","90.9","101.3","94.7","88.7","430","165","391","127",43.9,"25",8.7,6.8
"Turang, Brice","668930","288","7.4",36.1,"109.8","90.7","99.7","94.2","86.9","444","159","417","132",45.8,"18",6.3,4.3
"Goldschmidt, Paul","502671","286","14.9",36.4,"109.9","90","100.6","94","85.5","425","172","384","121",42.3,"23",8,6
"Paredes, Isaac","670623","286","22.5",37.4,"107.4","87.3","98","90.5","84.6","407","189","376","95",33.2,"18",6.3,4.4
"Alonso, Pete","624413","286","16.2",40.6,"115.4","94","105.4","98.9","88.7","447","188","408","153",53.5,"58",20.3,12.9
"Holliday, Jackson","702616","285","8.6",35.8,"109.6","90.1","100.8","94.4","86.4","430","160","396","130",45.8,"30",10.5,7.3
"Soto, Juan","665742","285","11.1",34.4,"115","94.2","105.2","99.7","89.7","437","173","403","159",55.8,"52",18.2,11.5
"Contreras, William","661388","284","5.6",31.3,"114.1","90.1","102.2","96.3","85.7","408","140","389","126",44.4,"12",4.2,2.8
"Suzuki, Seiya","673548","284","19",42.6,"116.2","92.1","103.4","95.4","89.7","445","207","399","142",50,"52",18.3,12
"Soderstrom, Tyler","691016","284","9.7",35.2,"114","91.2","102.8","95.5","88.2","445","165","398","138",48.6,"38",13.4,8.9
"Torres, Gleyber","650402","283","15.2",38.2,"109.3","90.3","100.1","93.2","87.4","432","185","399","113",39.9,"25",8.8,6.4
"Olson, Matt","621566","282","14.6",38.7,"113.8","93.7","104.2","97.7","90.7","442","184","401","153",54.3,"45",16,9.9
"Rengifo, Luis","650859","281","5.5",33.8,"109.2","87.8","98.3","91.5","85.4","419","135","396","98",34.9,"12",4.3,3.3
"Kirk, Alejandro","672386","281","12.2",34.9,"112","91.8","102.5","94.6","90.7","424","166","398","150",53.4,"26",9.3,7.5
"Swanson, Dansby","621020","281","12.8",35.6,"109.3","90.7","101.2","96.1","85.6","433","165","399","138",49.1,"33",11.7,7.7
"Ohtani, Shohei","660271","280","13.9",32.9,"117.9","94.8","106","100.6","87.8","448","191","406","166",59.3,"63",22.5,13.4
"Happ, Ian","664023","279","16.2",33.7,"112","89.3","100.6","93.9","85","434","173","394","116",41.6,"26",9.3,6.1
"Burleson, Alec","676475","279","17.4",33.3,"111.1","91.3","101.2","93.2","90.4","443","177","406","119",42.7,"27",9.7,7.7
"France, Ty","664034","279","10.9",36.2,"110.5","89.3","100.3","92.7","86","411","161","398","116",41.6,"24",8.6,6.4
"Rafaela, Ceddanne","678882","279","11.7",32.3,"112.1","90.5","101","95","88","426","160","390","128",45.9,"33",11.8,8.9
"Ward, Taylor","621493","278","18.5",34.5,"111","90.4","100.9","95","85.5","432","194","393","118",42.4,"38",13.7,8.6
"García Jr., Luis","671277","277","8.7",34.3,"111.7","90","100.5","94.3","86.6","420","163","398","127",45.8,"24",8.7,6.9
"Hayes, Ke'Bryan","663647","276","9",29.3,"109.7","90.3","100.5","93.8","88.9","413","140","381","127",46,"14",5.1,3.7
"Volpe, Anthony","683011","276","11.2",30.8,"110.5","89.2","100.5","94.6","85.2","424","169","379","121",43.8,"29",10.5,7.1
"Sheets, Gavin","657757","276","14.3",40.6,"111.8","90.9","101.2","95.5","86.7","439","183","403","135",48.9,"27",9.8,7
"Story, Trevor","596115","275","14.4",30.9,"111.7","91.2","102.5","94.2","90","431","162","396","132",48,"28",10.2,6.8
"Devers, Rafael","646240","275","12.5",35.3,"114.2","93.8","104","96.7","91.8","442","174","397","155",56.4,"43",15.6,9.1
"Reynolds, Bryan","668804","274","6.7",40.1,"112.3","91.4","102.5","95.6","86.5","421","166","398","131",47.8,"31",11.3,7.4
"Lopez, Otto","672640","274","8.6",34.3,"109.9","88.4","99.8","92.8","85.1","429","156","397","104",38,"23",8.4,6.4
"Wagaman, Eric","676572","273","10.3",34.1,"113.5","90.5","101.7","93.9","88.7","427","158","415","122",44.7,"15",5.5,4.1
"Adames, Willy","642715","273","20.9",32.6,"109.9","89.6","100.4","95","82","452","190","403","124",45.4,"36",13.2,8.2
"Lowe, Nathaniel","663993","272","10.1",35.7,"111.7","89.4","100.5","94.2","85.4","421","162","390","111",40.8,"20",7.4,4.7
"Stott, Bryson","681082","272","14.6",36,"110.7","87.2","97.2","89.7","84.7","411","167","391","78",28.7,"14",5.1,3.8
"García, Adolis","666969","271","18.4",33.6,"113.6","92.7","102.4","94.8","91.3","431","193","406","132",48.7,"36",13.3,9
"Henderson, Gunnar","683002","270","9.8",30,"113.3","92.8","103.7","95","93.3","405","152","388","140",52.2,"22",8.1,5.5
"Butler, Lawrence","671732","270","7.4",33.7,"113.6","90.9","101.9","96.2","86.3","435","160","415","119",44.1,"24",8.9,5.5
"Riley, Austin","663586","270","16.5",37.8,"113.2","92.4","104.2","96.6","87","444","191","411","137",50.7,"40",14.8,9.7
"Suárez, Eugenio","553993","268","23.5",32.5,"111.8","91.1","101.8","95.4","85.4","466","208","408","137",51.1,"40",14.9,9.5
"Walker, Christian","572233","266","16.5",34.2,"112.8","90.5","102.4","93.7","87.6","426","177","392","121",45.5,"30",11.3,7.3
"Raleigh, Cal","663728","266","25.4",34.2,"114.7","92.1","102.9","97.2","85.7","440","210","386","132",49.6,"51",19.2,11.4
"Peña, Jeremy","665161","265","7.8",28.7,"109.9","88.3","100.3","94.5","84.3","423","147","386","110",41.5,"21",7.9,6
"Ortiz, Joey","687401","264","14.1",28.4,"109.8","85.7","98.2","89.6","85.7","414","147","387","90",34.1,"10",3.8,2.9
"Santana, Carlos","467793","264","16.3",30.3,"113.2","88.2","100.1","93","87.1","418","159","382","106",40.2,"15",5.7,3.9
"Contreras, Willson","575929","264","11.5",41.3,"114.7","90.6","103.5","96","84.1","443","180","407","130",49.2,"40",15.2,9.6
"Flores, Wilmer","527038","263","18.3",34.2,"108.6","84.8","95.3","88.5","81.8","399","161","376","64",24.3,"10",3.8,2.8
"Smith, Josh","669701","263","13.8",33.8,"108.2","87.7","97.6","90.6","85.3","409","157","395","86",32.7,"13",4.9,3.6
"Springer, George","543807","262","16.4",41.2,"113.3","90.3","101.5","95.6","83.6","435","182","407","123",46.9,"38",14.5,9.7
"Judge, Aaron","592450","262","18.2",36.6,"118.1","95.1","106.6","98.7","89.8","469","204","404","148",56.5,"67",25.6,14.6
"Torkelson, Spencer","679529","261","22.3",40.2,"110.5","90.5","100.8","95.1","84.2","436","203","394","118",45.2,"39",14.9,9.4
"Schwarber, Kyle","656941","260","18.8",35.8,"116.7","94.5","105.6","98.5","89.8","466","199","409","155",59.6,"50",19.2,10.9
"Larnach, Trevor","663616","260","11",33.8,"111.8","90.9","101.4","93.1","89.4","434","164","401","115",44.2,"20",7.7,5.2
"Steer, Spencer","668715","260","17.4",35,"106.5","86.5","97","90.2","82.8","403","165","379","76",29.2,"13",5,3.4
"Wood, James","695578","259","5.8",34,"117.9","93.6","106.5","99.3","88.5","451","161","411","142",54.8,"46",17.8,10.2
"Arozarena, Randy","668227","259","13.2",34.4,"112.3","92.1","102.8","95.9","90.2","445","173","396","136",52.5,"32",12.4,7.2
"Greene, Riley","682985","258","14.7",38.8,"115.1","89.8","102.7","94.3","85","436","180","393","118",45.7,"45",17.4,10.6
"Freeman, Freddie","518692","257","15.1",37.7,"114.1","91.1","100.7","93.3","88.9","421","175","410","117",45.5,"23",8.9,6
"Correa, Carlos","621043","257","7.3",31.5,"112.6","90.9","102.4","94.8","89.2","458","145","412","120",46.7,"17",6.6,4.9
"Yelich, Christian","592885","257","1.1",29.6,"113.4","90","102.1","95.3","87.5","465","126","398","117",45.5,"21",8.2,5.1
"Carroll, Corbin","682998","256","16.1",33.2,"115.8","92.7","104.1","96.9","88.6","438","190","403","126",49.2,"38",14.8,9.7
"Meidroth, Chase","805367","252","9.1",29,"107.1","88.7","97.9","91.6","87.2","393","142","370","97",38.5,"5",2,1.5
"McCutchen, Andrew","457705","251","14.7",33.1,"110.2","89.5","100.3","93.7","87.1","417","169","394","112",44.6,"24",9.6,6.5
"Neto, Zach","687263","250","15.2",40,"111.3","90.8","101.4","96","85.2","447","174","406","115",46,"33",13.2,8.9
"Polanco, Jorge","593871","250","15.9",32.4,"111.9","90.9","101.8","94.4","89.7","423","164","388","114",45.6,"24",9.6,7.5
"Nootbaar, Lars","663457","250","18",34,"113","91.8","102.2","95.7","89.4","418","182","388","129",51.6,"26",10.4,6.7
"Bell, Josh","605137","249","9.2",30.1,"113.3","89.7","102.1","96.3","84.7","433","161","398","111",44.6,"27",10.8,7.8
"Kiner-Falefa, Isiah","643396","248","3.7",30.6,"105.5","85","95.6","89.5","83.2","391","120","382","62",25,"5",2,1.6
"Ramírez, Agustín","682663","248","7.5",31,"116.9","92","104.7","96.8","88.7","447","157","414","121",48.8,"30",12.1,9
"Goodman, Hunter","696100","246","16.1",31.3,"116.2","91.3","103.2","96.1","87.3","443","180","403","125",50.8,"31",12.6,8.4
"Aranda, Jonathan","666018","245","14.7",42,"111.4","93.1","102.9","95.9","90.8","467","179","397","136",56,"31",12.7,8.1
"McKinstry, Zach","656716","242","15.1",44.2,"108.7","85.7","97.2","90.7","80.8","385","169","372","76",31.4,"15",6.2,4.2
"Realmuto, J.T.","592663","241","9.1",38.2,"110","90.3","101.3","94.7","86.9","418","158","406","110",45.6,"21",8.7,6
"McLain, Matt","680574","241","16.2",34.4,"109.9","88.2","99","93.5","83.2","414","176","389","95",39.4,"16",6.6,4.2
"O'Hearn, Ryan","656811","239","11.2",36.8,"109.4","90.9","100.6","94.6","87.5","406","168","390","115",48.5,"21",8.8,6.1
"Ozuna, Marcell","542303","238","14.1",34.9,"112.1","91.1","102.1","95.4","86.6","464","177","414","117",49.2,"26",10.9,6.6
"Beck, Jordan","687597","238","13",36.6,"113.8","88.1","100.7","95","80.5","448","168","416","96",40.3,"26",10.9,7.1
"Sosa, Lenyn","672820","238","19.4",39.5,"111.5","90.6","100.5","94","86.2","440","194","400","100",42,"20",8.4,6.2
"Edman, Tommy","669242","238","11.7",34.9,"108.6","87.6","99.2","91.1","86.1","423","156","397","91",38.2,"12",5,3.8
"Hernández, Teoscar","606192","237","9.8",36.3,"112.5","90.2","102.2","94.8","85.8","436","166","394","109",46,"29",12.2,8.7
"Martínez, Angel","682657","237","18.1",35,"107.4","87.7","97.3","90.5","86.4","394","168","374","72",30.4,"9",3.8,2.8
"Lowe, Brandon","664040","236","14.4",38.1,"112.2","92.1","101.9","95.6","89","431","176","400","110",46.8,"31",13.1,8.9
"Adell, Jo","666176","236","14.6",35.2,"113.3","91.2","104.2","96.6","87.2","445","179","410","117",49.6,"40",16.9,11.1
"Busch, Michael","683737","236","17.1",40.7,"111.9","91.7","101.4","94.4","87.3","442","198","395","111",47,"38",16.1,10.4
"Meyers, Jake","676694","235","10.4",36.2,"110.4","88.3","99.3","90.6","87.1","409","150","378","91",38.7,"12",5.1,3.7
"Lee, Brooks","686797","235","13.5",30.2,"110.3","89.1","98.7","91.8","87.1","401","161","376","94",40,"14",6,4.5
"Espinal, Santiago","669289","234","14.1",31.2,"107.4","86.6","96.1","89","86.1","375","152",,"61",26.1,"2",0.9,0.7
