"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Casas, Triston","671213","2025",,,,,,,,,67,,,,,,9,2,,,,
"Santander, Anthony","623993","2025",,,,,,,,,63,,,,,,48,17,,,,
"Gonzalez, Romy","663853","2025",,,,,,,,,73,,,,,,6,71,,,,
"Tauchman, Mike","643565","2025",,,,,,,,,70,,,,,,38,6,,,,
"Matthews, Brice","694728","2025",,,,,,,,,42,,,,,,,85,,,,
"Rortvedt, Ben","666163","2025",,,,,,,,,9,,,,,,,11,,,,
"O'Hearn, Ryan","656811","2025",85,94,69,51,95,49,50,67,50,78,76,84,63,50,4,56,92,46,80,60
"Nola, Austin","543592","2025",,,,,,,,,30,,,,,,,15,,,,
"Langford, Wyatt","694671","2025",51,19,51,65,40,67,75,66,86,67,9,71,30,51,66,88,94,68,35,78
"Lukes, Nathan","664770","2025",46,69,27,14,84,10,14,22,20,20,92,76,92,27,78,33,46,,,
"Misner, Kameron","670224","2025",,,,,,,,,61,,,,,,85,77,89,,,
"Perez, Salvador","521692","2025",87,92,95,91,57,96,90,63,94,62,63,7,35,2,2,4,,67,35,5
"De La Cruz, Elly","682829","2025",77,68,76,70,79,87,77,74,99,65,34,74,15,46,94,91,13,86,38,60
"Biggio, Cavan","624415","2025",,,,,,,,,11,,,,,,,69,,,,
"Jones, Nolan","666134","2025",48,38,42,42,65,25,40,82,85,79,18,77,38,58,99,54,5,60,23,90
"Perkins, Blake","663368","2025",,,,,,,,,18,,,,,,,91,,,,
"Quero, Edgar","700337","2025",21,35,11,10,54,2,4,71,54,83,71,62,87,99,,5,,,,
"Duran, Jarren","680776","2025",43,44,41,42,46,77,58,87,99,68,33,43,22,29,74,92,11,85,28,29
"Barrosa, Jorge","678489","2025",,,,,,,,,6,,,,,,,70,,,,
"Seigler, Anthony","678011","2025",,,,,,,,,11,,,,,,,31,,,,
"Lopez, Otto","672640","2025",84,93,79,64,86,56,44,27,56,25,87,58,78,39,50,81,97,44,85,90
"Herrera, Jose","645444","2025",,,,,,,,,18,,,,,,,4,,,,
"Polanco, Jorge","593871","2025",76,88,73,60,67,58,55,67,78,61,86,37,56,63,,22,,44,93,51
"Bart, Joey","663698","2025",27,9,23,35,38,23,55,22,86,37,10,80,20,77,,26,,,,
"Hinds, Rece","677956","2025",,,,,,,,,72,,,,,,,98,,,,
"McCormick, Chas","676801","2025",,,,,,,,,23,,,,,,55,35,,,,
"Rivas, Leo","660844","2025",,,,,,,,,10,,,,,,8,66,,,,
"Marte, Ketel","606466","2025",98,98,97,97,99,87,94,78,95,74,83,95,62,79,31,27,63,87,70,5
"Olson, Matt","621566","2025",90,62,89,89,90,94,93,96,90,95,40,95,46,67,9,8,96,74,13,40
"Anthony, Roman","701350","2025",,,,,,,,,82,,,,,,59,58,,,,
"Gorski, Matt","685301","2025",,,,,,,,,95,,,,,,,85,,,,
"Smith, Pavin","656976","2025",48,11,41,58,65,33,67,51,67,62,2,97,6,83,15,23,,51,18,40
"Hoerner, Nico","663538","2025",28,84,23,6,53,10,6,10,15,6,100,13,99,23,7,79,98,8,97,60
"Harris II, Michael","671739","2025",18,51,34,29,8,43,29,41,83,39,56,1,56,3,84,81,96,77,16,5
"Mead, Curtis","678554","2025",,,,,,,,,69,,,,,,,39,,,,
"Alexander, Blaze","677942","2025",,,,,,,,,66,,,,,,,85,,,,
"Arias, Gabriel","672356","2025",19,8,33,48,7,40,63,44,82,40,3,26,1,4,92,44,78,92,1,18
"Brooks, Trenton","670092","2025",,,,,,,,,9,,,,,,,29,,,,
"Neto, Zach","687263","2025",81,81,85,84,56,83,81,66,72,65,27,12,33,43,52,71,7,38,72,78
"Williams, Luke","663897","2025",,,,,,,,,6,,,,,,,73,,,,
"Thomas, Colby","687515","2025",,,,,,,,,13,,,,,,,52,,,,
"Verdugo, Alex","657077","2025",,,,,,,,,33,,,,,,89,19,8,,,
"Friedl, TJ","670770","2025",28,25,8,9,68,19,9,13,30,12,83,75,88,97,43,33,62,15,90,95
"Hill, Derek","656537","2025",,,,,,,,,82,,,,,,62,98,,,,
