"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Severino, Luis","622663","96","95.7","93.1","87","86.5",,,,"84.8",
"Webb, Logan","657277","92.9","92.6","91",,"86.6",,,,"84.7",
"Kikuchi, Yusei","579328","94.8","92.7",,"87.4","85.8","80.3",,,"81.7",
"Peralta, Freddy","642547","95",,,"84.1","89.2","79.7",,,,
"Crochet, Garrett","676979","96.2","95.6","91.1",,"88.2",,,,"82.5",
"Soriano, José","667755","97.7","97.1",,"89",,"85.2","92",,,
"Gore, MacKenzie","669022","95.3",,"90.4","86.5","86.1","81.4",,,,
"Rodón, Carlos","607074","94.4","92.2","91.1","85.8","85.1","80",,,,
"Wheeler, Zack","554430","96.2","95.6","92",,,"81.3","87.3",,"84.1",
"Fried, Max","608331","95.6","93.8","93.6","85.1","84.6","75.4",,,"80.9",
"Castillo, Luis","622491","95.2","95.1",,"84.6","87.5",,,,,
"Cease, Dylan","656302","97.1","96.5",,"89.1","77.3","81.9",,,"84.5",
"Ray, Robbie","592662","93.6",,,"88.1","85","81.5",,,,
"Skenes, Paul","694973","98.2","97.7",,"85.1","88.2","83.4","93.6",,"84.5",
"Springs, Jeffrey","605488","90.5",,"86.8","83.5","79.4",,,,"76.1",
"Gallen, Zac","668678","93.3","93","89.3","87.6","86.8","81",,,,
"Luzardo, Jesús","666200","96.5","95.9",,"86.6","87.9",,,,"85.9",
"Bassitt, Chris","605135","91.4","91.4","88.2","82","83.9","71.2","83.5",,"72.6",
"Keller, Mitch","656605","94","92.9","92.4","87","89.1","77.4",,,"82.2",
"Irvin, Jake","663623","92.2","91.6","87.1","83.8","85.4","77.7",,,,
"Lodolo, Nick","666157","93.7","93.8",,,"87.8","82",,,,
"Kelly, Merrill","518876","92","92.4","90.8","85.9","88.4","81.9",,,,
"Berríos, José","621244","93","92.1","89.6",,"85.4",,,,,"82.6"
"Bibee, Tanner","676440","94.5","94.1","85.8",,"81.8","79.6",,,"83",
"Pepiot, Ryan","686752","95","94.7","91.6","89.2","86.2","81.1",,,,
"Brown, Hunter","686613","96.9","96","93","90.7","88.4","83.8",,,,
"Gausman, Kevin","592332","94.4","93.8",,"82.8",,,"85.2",,,
"Holmes, Clay","605280","93.1","93.6","89.6","85.2","88",,,,"81.7",
"Holmes, Grant","656550","94.5","93.2","92.2","85.4","90.2","83.5",,,,
"Pivetta, Nick","601713","93.8","93.7","89.8","83.1",,"79.1","89",,"81.7",
"Williams, Gavin","668909","96.6","95.2","91.7",,"87.6","81.9",,,"86.8",
"Valdez, Framber","664285","93.5","94.3",,"84.3","89.9","79.5",,,,
"Kremer, Dean","665152","93.3","92.9","87","83.9",,"78.5","82",,,
"Martinez, Nick","607259","92.5","92.4","88.8","84.7","78.5","79.6",,,,
"Paddack, Chris","663978","93.8","93.5","88.8","85.6","84.4","78.1",,,,
"Pfaadt, Brandon","694297","93.6","93.2","90.1",,"87.6","82.5",,,"84.7",
"Skubal, Tarik","669373","97.5","97.2",,"89.6","88.1","81.1",,,,
"Warren, Will","701542","93.2","92.9",,,"86.9","79.8",,,"82.6",
"Anderson, Tyler","542881","89.1","88.4","84.1","80.7","78.6","69.4",,,,
"Sears, JP","676664","92.2","90.3",,"80.2","83.2",,,,"79.1",
"Baz, Shane","669358","96.8",,"89.1","86.7","89.5","84.6",,,,
"Littell, Zack","641793","92.1","91.4",,"87.3",,,"83.5",,"79.8",
"Sánchez, Cristopher","650911",,"95.3",,"85.4","86.1",,,,,
"Flaherty, Jack","656427","92.8","90.7",,"84.6","85.8","77.6",,,,
"Woo, Bryan","693433","95.6","95.2",,"88.3","89.7",,,,"84.6",
"Ryan, Joe","657746","93.5","93.2",,"87.5",,"79","87.5",,"80.5",
"Yamamoto, Yoshinobu","808967","95.2","94.5","91","85.9",,"76.7","90.6",,"84.2",
"Alcantara, Sandy","645261","97.5","97.2",,"89.2","90.3","85.3",,,,
"Pallante, Andre","669467","94.4","94.9",,"87.6",,"77.9",,,,
"Boyd, Matthew","571510","93.3","91.7",,"81.5","78.8","73.6",,,,
"Peterson, David","656849","92.4","91.1",,"84.6","84.2","78.7",,,,
"Singer, Brady","663903","91.5","92.3","87.7","82.4",,,,,"81.3",
"Wacha, Michael","608379","93.2","93.5","88.2","84.9","80.1","75.1",,,,
"Lugo, Seth","607625","91.8","91.2","89.4","83.4","86.2","77.2","84.9",,"81","79.3"
"Parker, Mitchell","680730","92.8",,,"84.9",,"81.4","85.3",,,
"Bradley, Taj","671737","96.1",,"89.8",,,"81.6","91.3",,,
"Burke, Sean","680732","94.1","93.7",,"86.5","85.2","79.1",,,,
"deGrom, Jacob","594798","97.4",,,"89.8","89.5","80.4",,,,
"Roupp, Landen","694738","92.4","92.7","90.3",,"86.7","76.7",,,,
"Gray, Sonny","543243","91.7","92.2","88.2","84.2","86.4","80.1",,,"85",
"Bubic, Kris","663460","92.2","91.7",,"85.5","85.5",,,,"83",
"Senzatela, Antonio","622608","94.9","95.1",,"86.7","87.3","80.2",,,,
"Morton, Charlie","450203","94.2","94","88.4",,"87.5","81.4",,,,
"Heaney, Andrew","571760","90.1","89.2",,"80.4","81.9","75.3",,,,
"Allen, Logan","671106","90.9","88.9","85.3",,"82.5",,,,"77.6",
"Fedde, Erick","607200",,"93.2","90.1",,"87.3",,,,"82.5",
"Sugano, Tomoyuki","608372","92.4","92.5","87.8",,,"78","87.1",,"83.2",
"Corbin, Patrick","571578","91.3","91.3","86.9","80","80.3","66.9",,,,
"Bello, Brayan","678394","95","95.2","88.5",,"89",,,,"85.8",
"Falter, Bailey","663559","92.2","92.1",,"85.3",,"77.7","85.3",,,
"Vásquez, Randy","681190","93","92.8","90.4","85.3","86.9","81.3",,,"82.1",
"Rea, Colin","607067","93.8","93.1","88","84.8",,"80.1","87.1",,"82.3",
"Lorenzen, Michael","547179","94.2","93.5","90.6","85.2","84.1","82.3",,,"83.2",
"Mikolas, Miles","571945","92.5","91.9",,"87.3","85.4","75.4",,,"80.4",
"Hendricks, Kyle","543294","86.6","86.2",,,"79.3","71.9",,,,
"Márquez, Germán","608566","95.1","94.5",,"88.9","89.1","85.6",,,,
"Priester, Quinn","682990",,"93.8","92.3","85.9","88.4","80.5",,,,
"Freeland, Kyle","607536","92","91.4","87.8",,"86.6","83.1",,,"83.9",
