"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
672761,"Pérez, Wenceel","Bat",116,290,290,164,14.544,126,14.544,0.3620689655172414,0.6344827586206897,0.0034482758620689655
686681,"Massey, Michael","Bat",118,301,301,198,14.601,103,14.601,0.3953488372093023,0.6046511627906976,0
643396,"Kiner-Falefa, Isiah","Bat",134,522,522,355,14.638,167,14.638,0.4042145593869732,0.5938697318007663,0.0019157088122605363
624431,"Trevino, Jose","Bat",113,290,290,185,14.748,105,14.748,0.3620689655172414,0.6379310344827587,0
624641,"Sosa, Edmundo","Bat",143,210,210,134,14.776,76,14.776,0.36666666666666664,0.6238095238095238,0.009523809523809525
683734,"Vaughn, Andrew","Bat",158,396,396,235,14.782,161,14.782,0.3409090909090909,0.6565656565656566,0.0025252525252525255
656180,"Adams, Riley","Bat",120,214,214,135,14.798,79,14.798,0.3691588785046729,0.6261682242990654,0.004672897196261682
663538,"Hoerner, Nico","Bat",112,594,594,356,14.8,238,14.8,0.37542087542087543,0.6212121212121212,0.003367003367003367
681146,"Bride, Jonah","Bat",142,309,309,190,14.848,119,14.848,0.33980582524271846,0.656957928802589,0.003236245954692557
641943,"Palacios, Joshua","Bat",145,212,212,152,14.849,60,14.849,0.3867924528301887,0.6132075471698113,0
700337,"Quero, Edgar","Bat",145,411,411,252,14.884,159,14.884,0.35279805352798055,0.6447688564476886,0.0024330900243309003
682928,"Abrams, CJ","Bat",120,624,624,454,14.902,170,14.902,0.391025641025641,0.6057692307692307,0.003205128205128205
686780,"Pagés, Pedro","Bat",138,413,413,239,14.914,174,14.914,0.3559322033898305,0.6319612590799032,0.012106537530266344
677588,"Tena, José","Bat",120,289,289,207,14.951,82,14.951,0.4083044982698962,0.5882352941176471,0.0034602076124567475
687401,"Ortiz, Joey","Bat",158,572,572,355,14.979,217,14.979,0.34440559440559443,0.6538461538461539,0.0017482517482517483
669289,"Espinal, Santiago","Bat",113,537,537,342,14.988,195,14.988,0.3538175046554935,0.6424581005586593,0.0037243947858473
691023,"Walker, Jordan","Bat",138,364,364,222,14.997,142,14.997,0.36538461538461536,0.6346153846153846,0
681460,"Baldwin, Brooks","Bat",145,302,302,176,15.018,126,15.018,0.2980132450331126,0.7019867549668874,0
805367,"Meidroth, Chase","Bat",145,761,761,511,15.043,250,15.043,0.3600525624178712,0.6320630749014454,0.00788436268068331
702332,"Durbin, Caleb","Bat",158,491,491,313,15.084,178,15.084,0.34826883910386963,0.6496945010183299,0.002036659877800407
663898,"Rodgers, Brendan","Bat",117,208,208,116,15.089,92,15.089,0.30288461538461536,0.6971153846153846,0
686217,"Frelick, Sal","Bat",158,731,731,498,15.101,233,15.101,0.3543091655266758,0.6429548563611491,0.0027359781121751026
641933,"O'Neill, Tyler","Bat",110,213,213,137,15.103,76,15.103,0.3192488262910798,0.676056338028169,0.004694835680751174
668930,"Turang, Brice","Bat",158,769,769,531,15.129,238,15.129,0.3550065019505852,0.6397919375812744,0.005201560468140442
680977,"Donovan, Brendan","Bat",138,756,756,473,15.143,283,15.143,0.3333333333333333,0.6626984126984127,0.003968253968253968
686668,"Doyle, Brenton","Bat",115,550,550,377,15.143,173,15.143,0.3690909090909091,0.6290909090909091,0.0018181818181818182
691026,"Winn, Masyn","Bat",138,765,765,486,15.152,279,15.152,0.330718954248366,0.665359477124183,0.00392156862745098
669242,"Edman, Tommy","Bat",119,474,474,308,15.153,166,15.153,0.3291139240506329,0.6666666666666666,0.004219409282700422
664774,"Wade Jr., LaMonte","Bat",108,525,525,309,15.154,216,15.154,0.2876190476190476,0.7123809523809523,0
661388,"Contreras, William","Bat",158,707,707,421,15.155,286,15.155,0.31541725601131543,0.6803394625176803,0.004243281471004243
672724,"Peraza, Oswald","Bat",147,229,229,134,15.159,95,15.159,0.3056768558951965,0.6899563318777293,0.004366812227074236
807713,"Shaw, Matt","Bat",112,412,412,220,15.162,192,15.162,0.2766990291262136,0.7087378640776699,0.014563106796116505
545341,"Grichuk, Randal","Bat",109,304,304,193,15.164,111,15.164,0.3125,0.6842105263157895,0.003289473684210526
666160,"Moniak, Mickey","Bat",115,363,363,224,15.184,139,15.184,0.3305785123966942,0.6694214876033058,0
605361,"Martini, Nick","Bat",115,213,213,152,15.199,61,15.199,0.30985915492957744,0.6901408450704225,0
663647,"Hayes, Ke'Bryan","Bat",134,674,674,392,15.2,282,15.2,0.2997032640949555,0.6973293768545994,0.002967359050445104
665926,"Giménez, Andrés","Bat",141,381,381,223,15.201,158,15.201,0.2887139107611549,0.7007874015748031,0.010498687664041995
808982,"Lee, Jung Hoo","Bat",137,776,776,504,15.213,272,15.213,0.30670103092783507,0.6907216494845361,0.002577319587628866
669357,"Gorman, Nolan","Bat",138,389,389,244,15.215,145,15.215,0.3264781491002571,0.6683804627249358,0.005141388174807198
605141,"Betts, Mookie","Bat",119,756,756,516,15.227,240,15.227,0.32936507936507936,0.667989417989418,0.0026455026455026454
578428,"Iglesias, Jose","Bat",135,428,428,261,15.228,167,15.228,0.2967289719626168,0.7032710280373832,0
663993,"Lowe, Nathaniel","Bat",120,826,826,468,15.229,358,15.229,0.3050847457627119,0.6924939467312349,0.002421307506053269
656555,"Hoskins, Rhys","Bat",158,678,678,389,15.233,289,15.233,0.30973451327433627,0.6887905604719764,0.0014749262536873156
624428,"Frazier, Adam","Bat",118,462,462,324,15.234,138,15.234,0.341991341991342,0.6515151515151515,0.006493506493506494
669397,"Allen, Nick","Bat",144,525,525,320,15.235,205,15.235,0.30095238095238097,0.6895238095238095,0.009523809523809525
456781,"Solano, Donovan","Bat",136,278,278,145,15.236,133,15.236,0.27697841726618705,0.7194244604316546,0.0035971223021582736
681624,"Pages, Andy","Bat",119,552,552,325,15.239,227,15.239,0.28442028985507245,0.7083333333333334,0.007246376811594203
