"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Soriano, José",667755,"LAA","SI","Sinker",0.2,2,"1033",50.5,"318","0.29","0.357","0.347",17.5,8.2,14.5,"0.297","0.427","0.365",55.2
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.6,8,"1184",56.4,"294","0.206","0.364","0.305",23,22.8,18.1,"0.251","0.465","0.354",41.3
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",-0.1,-1,"955",55.1,"276","0.251","0.404","0.338",10.6,8.7,11,"0.304","0.524","0.395",54.2
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.5,5,"1031",54.5,"273","0.247","0.435","0.339",18.2,18.3,16.6,"0.271","0.488","0.366",44.2
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",-1.1,-10,"932",54.2,"269","0.358","0.509","0.427",11.8,8.2,10.3,"0.341","0.518","0.413",47.6
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",0.8,8,"1004",50.4,"266","0.197","0.335","0.287",23.2,28.6,23.8,"0.194","0.343","0.28",40.6
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",2.2,21,"959",52.8,"246","0.173","0.299","0.239",27.3,30.9,23.8,"0.195","0.383","0.271",40
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",-0.2,-2,"936",47.2,"240","0.257","0.43","0.333",14.5,17.1,17.4,"0.288","0.541","0.384",52.6
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",1.8,16,"891",62.4,"239","0.181","0.33","0.265",19.2,23,18.9,"0.247","0.403","0.319",43.8
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",0.1,1,"1021",50,"236","0.296","0.458","0.368",21.2,15.3,15.3,"0.297","0.488","0.38",46.5
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",0.2,1,"821",46,"236","0.286","0.488","0.374",16.2,9.7,13.6,"0.31","0.514","0.382",49
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",1,9,"953",47.4,"236","0.199","0.346","0.282",26.4,25.8,17.1,"0.213","0.425","0.311",51.7
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",0.5,4,"857",46.9,"236","0.305","0.399","0.358",12.2,13.1,21.7,"0.275","0.404","0.33",49.7
"Cease, Dylan",656302,"SD","SL","Slider",0.2,2,"922",46.2,"232","0.224","0.383","0.303",41.9,37.9,24.1,"0.203","0.347","0.268",37
"Pivetta, Nick",601713,"SD","FF","4-Seam Fastball",1.6,14,"883",47,"230","0.201","0.33","0.271",24.9,29.6,26,"0.243","0.475","0.34",53.8
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",-0.9,-7,"727",47.2,"226","0.315","0.457","0.377",15.6,9.3,13.9,"0.292","0.429","0.358",50
"Bassitt, Chris",605135,"TOR","SI","Sinker",0.5,4,"812",41.6,"225","0.309","0.417","0.364",13.4,14.7,19,"0.301","0.455","0.359",42.7
"Valdez, Framber",664285,"HOU","SI","Sinker",1.7,14,"818",43.8,"223","0.256","0.34","0.301",11.3,9,20.8,"0.314","0.455","0.36",50
