"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
608718,"Suter, Brent","Pit",113,337,337,214,11.494,123,11.494,0.6824925816023739,0.31750741839762614,0
671106,"Allen, Logan","Pit",114,799,799,500,11.6,299,11.6,0.6483103879849812,0.3504380475594493,0.0012515644555694619
596001,"Junis, Jakob","Pit",114,334,334,190,11.72,144,11.72,0.7065868263473054,0.281437125748503,0.011976047904191617
694738,"Roupp, Landen","Pit",137,791,791,482,11.827,309,11.827,0.6927939317319848,0.3059418457648546,0.0012642225031605564
693821,"Elder, Bryce","Pit",144,654,654,435,12.16,219,12.16,0.6100917431192661,0.38990825688073394,0
571927,"Matz, Steven","Pit",138,385,385,244,12.254,141,12.254,0.6649350649350649,0.33506493506493507,0
628452,"Iglesias, Raisel","Pit",144,248,248,159,12.362,89,12.362,0.7701612903225806,0.2217741935483871,0.008064516129032258
663399,"Waddell, Brandon","Pit",121,211,211,125,12.58,86,12.58,0.4976303317535545,0.4976303317535545,0.004739336492890996
682990,"Priester, Quinn","Pit",158,731,731,474,12.758,257,12.758,0.5403556771545828,0.454172366621067,0.005471956224350205
663903,"Singer, Brady","Pit",113,828,828,493,12.873,335,12.873,0.607487922705314,0.391304347826087,0.0012077294685990338
663738,"Lynch IV, Daniel","Pit",118,325,325,182,12.902,143,12.902,0.5784615384615385,0.41846153846153844,0.003076923076923077
641745,"Keller, Brad","Pit",112,332,332,197,12.985,135,12.985,0.5331325301204819,0.4608433734939759,0.006024096385542169
592836,"Walker, Taijuan","Pit",143,520,520,337,13.014,183,13.014,0.5653846153846154,0.4326923076923077,0.0019230769230769232
680885,"Schwellenbach, Spencer","Pit",144,650,650,471,13.058,179,13.058,0.6384615384615384,0.36,0.0015384615384615385
608566,"Márquez, Germán","Pit",115,636,636,367,13.19,269,13.19,0.46540880503144655,0.5283018867924528,0.006289308176100629
690990,"Horton, Cade","Pit",112,405,405,268,13.21,137,13.21,0.4962962962962963,0.49382716049382713,0.009876543209876543
674370,"Bido, Osvaldo","Pit",133,403,403,231,13.29,172,13.29,0.45409429280397023,0.5409429280397022,0.004962779156327543
607200,"Fedde, Erick","Pit",138,761,761,448,13.293,313,13.293,0.4664914586070959,0.5321944809461235,0.001314060446780552
687911,"King, Bryan","Pit",117,286,286,172,13.35,114,13.35,0.5594405594405595,0.4405594405594406,0
657277,"Webb, Logan","Pit",137,953,953,547,13.359,406,13.359,0.5697796432318992,0.42917103882476393,0.001049317943336831
656794,"Newcomb, Sean","Pit",133,524,524,242,13.416,282,13.416,0.4847328244274809,0.5152671755725191,0
657612,"Hill, Tim","Pit",147,263,263,148,13.429,115,13.429,0.6425855513307985,0.3574144486692015,0
668678,"Gallen, Zac","Pit",109,909,909,613,13.433,296,13.433,0.5390539053905391,0.45764576457645767,0.0033003300330033004
